Sample	Unique Reads	Duplicate Reads
SRR20959676_C_1	253237.0	10677039.0
SRR20959676_C_2	305718.0	10624558.0
SRR20959677_C_1	134716.0	7147183.0
SRR20959677_C_2	166446.0	7115453.0
SRR20959678_C_1	219042.0	11452778.0
SRR20959678_C_2	284168.0	11387652.0
SRR20959680_A_1	191623.0	6801614.0
SRR20959680_A_2	241694.0	6751543.0
SRR20959681_A_1	159980.0	7408474.0
SRR20959681_A_2	207821.0	7360633.0
SRR20959682_A_1	242023.0	7204715.0
SRR20959682_A_2	317516.0	7129222.0
